22	104.8237188	27.5442858	1587.4286
21	104.8235156	27.5445954	1592.4296
20	104.8233341	27.5449085	1603.7896
19	104.8231312	27.5452195	1617.2736
18	104.8229281	27.5455430	1619.1196
17	104.8227340	27.5458545	1623.0326
16	104.8225378	27.5461639	1616.1516
15	104.8223388	27.5464850	1616.6366
14	104.8221426	27.5468083	1621.3726
13	104.8219471	27.5471115	1626.2276
12	104.8217810	27.5474268	1622.6866
11	104.8215635	27.5477423	1606.3126
10	104.8209738	27.5486945	1603.8136
9	104.8203920	27.5496364	1585.4866
